Bug ID,1
Описание,Настройки для слабовидящих не отображаются корректно во вкладке “Каталог“
Проект,Модуль — Каталог
Компонент,Каталог
Версия билда,1.0
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Яковлев Д.И.
Окружение,"Windows 10, Chrome Browser 102.0.5005.115"
Шаги воспроизведения,1. Скроллить вниз до конца сайта и нажать на кнопку справа “Версия для слабовидящих“ ozon.ru 2. Перейти во вкладку “Каталог“ https://www.ozon.ru/category/ ФР: Шапка с настройками для слабовидящих отображается некорректно ОР: Шапка с настройками для слабовидящих отображается сверху и поверх остальных элементов
Attachments,https://drive.google.com/file/d/1jOCdFsZZN9ExHpebLDmb-891vbfWhq26/view?usp=sharing
,
Bug ID,2
Описание,В режиме для слабовидящих некорректно отображается модуль входа на сайт
Проект,Модуль — Вход в аккаунт
Компонент,Вход в аккаунт
Версия билда,1.0
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Яковлев Д.И.
Окружение,"Windows 10, Chrome Browser 102.0.5005.115"
Шаги воспроизведения,1. Скроллить вниз до конца сайта и нажать на кнопку справа “Версия для слабовидящих“ ozon.ru 2. Нажать на кнопку “Вход“ https://www.ozon.ru/ ФР: GUI элементы сайта отображаются некорректно ОР:   GUI элементы сайта отображаются корректно
Attachments,https://drive.google.com/file/d/1Sh3hnVB2tOp7JYiHtdtQlvCYx8iOZp-T/view?usp=sharing
,
Bug ID,3
Описание,В режиме для слабовидящих GUI элементы при оформлении заказа отображаются некорректно
Проект,Модуль — Оформление заказа
Компонент,Оформление заказа
Версия билда,1.0
Серьезность,Тривиальный
Приоритет,Низкий
Статус,Новый
Автор,Яковлев Д.И.
Окружение,"Windows 10, Chrome Browser 102.0.5005.115"
Шаги воспроизведения,1. Скроллить вниз до конца сайта и нажать на кнопку справа “Версия для слабовидящих“ ozon.ru 2. Перейти в корзину 3. Нажать кнопку “Перейти к оформлению“ ФР: GUI элементы сайта отображаются некорректно ОР:   GUI элементы сайта отображаются корректно
Attachments,https://drive.google.com/file/d/1klwIm2BTZBeisnwFCXAQTC9N8GsvoHL3/view?usp=sharing
,
Bug ID,4
Описание,В режиме для слабовидящих вкладка “Моменты“ отображается некорректно
Проект,Модуль — Моменты
Компонент,Моменты
Версия билда,1.0
Серьезность,Незначительный
Приоритет,Низкий
Статус,Новый
Автор,Яковлев Д.И.
Окружение,"Windows 10, Chrome Browser 102.0.5005.115"
Шаги воспроизведения,"1. Скроллить вниз до конца сайта и нажать на кнопку справа “Версия для слабовидящих“ ozon.ru 2. Перейти во вкладку “Моменты“ ozon.ru/social 3. Кликнуть на любое видео.  ФР: Открытое видео отображаются некорректно, элементы интерфейса не работают ОР:  Открытое видео отображаются корректно, элементы интерфейса работают"
Attachments,https://drive.google.com/file/d/11Z8F5fmRfXZ0vu6VwWu--RhESjasr4DQ/view?usp=sharing
