Билд,101,,Требования
Окружение,"Windows 10, Chrome, Yandex.Browser, Mozilla Firefox",,
Дата тестирования,16.06.2022,,
Тестировщик,Яковлев Д.И.,,
Тип теста,Проверка,Результат,
Регистрация,,,
Позитивные,,,
,Кнопка “Войти“ открывает окошко с входом/регистрацией,Пройден,
,Ввод актуального номера телефона,Пройден,Т.1 Требование к формату телефона +7 (11 цифр)
,"Ввод кода, который пришел через смс на телефон",Пройден,
,Аутентификация через Apple ID,Пройден,
Негативные,,,
,Пустое поле ввода телефона,Не пройден ,
,Ввод большего количества цифр моб.телефона (см.Т1),Невозможно выполнить ,
,Ввод меньшего количества цифр моб.телефона (см.Т1),Не пройден ,
,Ввод спецсимволов и букв в поле моб.телефона,Невозможно выполнить ,
,Ввод номера телефона с пробелом,Невозможно выполнить ,
,Ввод невалидной эл.почты,Не пройден ,
,Пустое поле ввода эл.почты,Не пройден ,
,Ввод номера моб.телефона и неправильного кода,Не пройден,
Нефункциональное тестирование ,,,
,Ввод валидного номера телефона (см. Т1) и последующее обновление веб-страницы,Не пройден,
Логин,,,
Позитивные,,,
,Вход через номер моб.телефона (см. Т1),Пройден,
,Вход через зарегистрированную эл.почту (см. Т2),Пройден,Т.2 Эл.почта привязана к существующему аккаунту
,Вход через Apple ID,Пройден,
,Клик по кнопке “Не приходит СМС?“,Пройден,
,"Ввод кода, который пришел через смс на телефон",Пройден,
,"Ввод кода, который пришел на эл.почту",Пройден,
Негативные,,,
,Вход с пустыми полями ,Не пройден,
,Вход через незарегистрированную эл.почту (см. Т2),Не пройден,
,Вход через номер моб.телефона и неправильного кода,Не пройден,
Нефункциональное тестирование ,,,
,"Вход на сайт через разные браузеры (Google Chrome, Firefox Mozilla, Yandex.Browser)",Пройден,
,Вход на сайт и одновременная потеря интернет-соединения,Пройден,
Поиск товара,,,
Позитивные,,,
,Использование поиска на главной странице,Пройден,
,Регистронезависимость поиска,Пройден,
,Релевантность выдачи ,Пройден,
,Контекст поиска,Пройден,
,Поиск по введенным ранее словам,Пройден,
,Поиск товара по категориям,Пройден,
Негативные,,,
,Пустая строка поиска,Невозможно выполнить ,
,Ввод спецсимволов,Пройден,
,Ввод эмоджи,Пройден,
,Опечатки в поисковом запросе,Пройден,
,"Ввод поискового запроса на разных языках(русский, английский)",Пройден,
,Поиск по частичному совпадению ,Пройден,
,Верхняя граница длины поиска,Пройден,
Нефункциональное тестирование ,,,
,"Кросс-браузерное тестирование (Chrome, Yandex.Browser, Firefox Mozilla)",Пройден,
,Переключение используемой валюты,Пройден,
Навигация по каталогу,,,
Позитивные,,,
,Вкладка “Каталог“ кликабельна,Пройден,
,При наведении мышью на общие категории меняется содержимое подкатегорий,Пройден,
,При нажатии на подкатегорию осуществляется переход на соответствующий перечень товаров,Пройден,
Негативные ,,,
,Многократное нажатие кнопки “Каталог“,Пройден,
Корзина,,,
Позитивные,,,
,Добавление товара в корзину,Пройден,
,Визуальное отображение добавленного товара,Пройден,
,"При увеличении/уменьшении кол-ва товара в корзине, сумма заказа пересчитывается мгновенно",Пройден,
,При удалении товара из корзины сайт требует подтверждение действия,Пройден,
,В корзине есть кнопка “Перейти к оформлению“,Пройден,
,Возможность оформить для заказа часть товаров из корзины,Пройден,
,При перезагрузке страницы выбранные значения товаров не сбрасываются ,Пройден,
,При удалении всех товаров выводится сообщение о пустой корзине ,Пройден,
,Переключение используемой валюты,Пройден,
,Добавление товара из ранее просмотренных прямо в корзине,Пройден,
Негативные,,,
,Ввод отрицательного количества товаров,Невозможно выполнить ,
,Ввод спецсимволов при количестве товара,Невозможно выполнить ,
,Ввод сверх-большего количества товара,Невозможно выполнить ,
,Ввод букв/символов вместе с количеством товара,Невозможно выполнить ,
Страница оформления заказа,,,
Позитивные,,,
,Добавление новой банковской карты ,Пройден,
,Возможность удалить товар ,Пройден,
,Возможность выбрать дату и время доставки отдельно для каждого товара,Пройден,
,Выбор варианта доставки ,Пройден,
,Добавление адреса доставки,Пройден,
,Выбор точки самовывоза,Пройден,
Негативные,,,
,Ввод цифр в адрес доставки,Не пройден,
Нефункциональное тестирование ,,,
,Закрытие страницы и повторный вход в корзину,Пройден,
Редактирование профиля,,,
Позитивные,,,
,Изменение мобильного телефона,Пройден,
,Изменение эл.почты ,Пройден,
,Загрузка аватарки,Пройден,
,Добавление паспортных данных ,Пройден,
,Удаление аккаунта,Пройден,
Негативные,,,
,Указание невалидных паспортных данных,Пройден,
Нефункциональное тестирование ,,,
,"Кросс-браузерное тестирование (Chrome, Yandex.Browser, Firefox Mozilla)",Пройден,
 ,,,
